Ticker,Name,Sector,Mkt Cap,Total Score,Profitability (20),ROE (15),Debt Safety (15),FCF Yield (15),Valuation MOS (15),Rev Stability (10),Dividend (5),Net Cash Bonus (5)
RHI,Robert Half Inc.,Industrials,$2.6B (above threshold),88.8,20 — 4/4 profitable years,15 — Avg ROE 24.1%,15 — Net cash (+$219M),12 — FCF yield 6.4%,13 — P/E 11.0x (yield 9.1%),10 — Rev CAGR 10.4%,2 — Yield 915.0% but payout 177% (risky),2 — Net cash 8% of mkt cap
OGN,Organon & Co.,Healthcare,$2.3B (above threshold),87.0,20 — 4/4 profitable years,15 — Avg ROE 104.0%,14 — D/E 0.12 (very low),15 — FCF yield 8.4%,15 — P/E 2.3x (yield 42.9%),4 — Rev CAGR -0.2%,5 — Yield 94.0%,0 — Net debt 363% of mkt cap
HRMY,Harmony Biosciences Holdings,Healthcare,$1.7B (above threshold),87.0,20 — 4/4 profitable years,15 — Avg ROE 28.2%,15 — Net cash (+$606M),15 — FCF yield 12.5%,15 — P/E 5.1x (yield 19.5%),1 — Rev CAGR -20.4%,1 — No dividend,5 — Net cash 36% of mkt cap
WEN,The Wendy's Company,Consumer Cyclical,$1291M,84.8,20 — 4/4 profitable years,15 — Avg ROE 79.9%,11 — D/E 0.35 (low),15 — FCF yield 13.3%,15 — P/E 8.0x (yield 12.5%),4 — Rev CAGR -1.3%,5 — Yield 838.0%,0 — Net debt 298% of mkt cap
PRG,"PROG Holdings, Inc.",Industrials,$1225M,83.5,20 — 4/4 profitable years,15 — Avg ROE 22.7%,8 — D/E 0.81 (moderate),15 — FCF yield 155.5%,15 — P/E 6.0x (yield 16.7%),6 — Rev CAGR 2.5%,5 — Yield 188.0%,0 — Net debt 24% of mkt cap
INVA,"Innoviva, Inc.",Healthcare,$1.8B (above threshold),82.8,20 — 4/4 profitable years,15 — Avg ROE 22.7%,15 — Net cash (+$235M),12 — FCF yield 6.8%,15 — P/E 7.3x (yield 13.6%),1 — Rev CAGR -7.0%,1 — No dividend,4 — Net cash 13% of mkt cap
AMR,Alpha Metallurgical Resource,Basic Materials,$2.4B (above threshold),82.0,15 — 3/4 profitable years,15 — Avg ROE 38.6%,15 — Net cash (+$397M),6 — FCF yield 2.2%,15 — P/E 6.9x (yield 14.5%),10 — Rev CAGR 24.4%,1 — No dividend,5 — Net cash 17% of mkt cap
PRDO,Perdoceo Education Corporati,Consumer Defensive,$2.2B (above threshold),82.0,20 — 4/4 profitable years,11 — Avg ROE 15.6%,15 — Net cash (+$504M),12 — FCF yield 7.6%,13 — P/E 10.7x (yield 9.3%),1 — Rev CAGR -6.3%,5 — Yield 173.0%,5 — Net cash 23% of mkt cap
VRTS,"Virtus Investment Partners, ",Financial Services,$949M,80.5,20 — 4/4 profitable years,8 — Avg ROE 14.5%,11 — D/E 0.47 (low),15 — FCF yield 8.4%,15 — P/E 5.5x (yield 18.0%),6 — Rev CAGR 1.3%,5 — Yield 690.0%,0 — Net debt 1% of mkt cap
YELP,Yelp Inc.,Communication Servic,$1.6B (above threshold),80.2,20 — 4/4 profitable years,8 — Avg ROE 14.2%,15 — Net cash (+$299M),15 — FCF yield 19.9%,15 — P/E 6.5x (yield 15.4%),1 — Rev CAGR -6.6%,1 — No dividend,5 — Net cash 19% of mkt cap
